id;lien_vers_la_fiche_pat;nom;regions;departements;code_insee;gouvernance;gouvernance_est_territoire_ressource;democratie_alimentaire;democratie_alimentaire_1_nom_de_laction;democratie_alimentaire_1_etat_davancement;democratie_alimentaire_1_est_ressource;democratie_alimentaire_1_resultat_attendu;democratie_alimentaire_1_resultat_atteint;democratie_alimentaire_1_descriptif;democratie_alimentaire_2_nom_de_laction;democratie_alimentaire_2_etat_davancement;democratie_alimentaire_2_est_ressource;democratie_alimentaire_2_resultat_attendu;democratie_alimentaire_2_resultat_atteint;democratie_alimentaire_2_descriptif;democratie_alimentaire_3_nom_de_laction;democratie_alimentaire_3_etat_davancement;democratie_alimentaire_3_est_ressource;democratie_alimentaire_3_resultat_attendu;democratie_alimentaire_3_resultat_atteint;democratie_alimentaire_3_descriptif;democratie_alimentaire_4_nom_de_laction;democratie_alimentaire_4_etat_davancement;democratie_alimentaire_4_est_ressource;democratie_alimentaire_4_resultat_attendu;democratie_alimentaire_4_resultat_atteint;democratie_alimentaire_4_descriptif;democratie_alimentaire_5_nom_de_laction;democratie_alimentaire_5_etat_davancement;democratie_alimentaire_5_est_ressource;democratie_alimentaire_5_resultat_attendu;democratie_alimentaire_5_resultat_atteint;democratie_alimentaire_5_descriptif;groupes_de_concertation_thematiques_perennes;groupes_de_concertation_thematiques_perennes_1_nom_de_laction;groupes_de_concertation_thematiques_perennes_1_etat_davancement;groupes_de_concertation_thematiques_perennes_1_est_ressource;groupes_de_concertation_thematiques_perennes_1_resultat_attendu;groupes_de_concertation_thematiques_perennes_1_resultat_atteint;groupes_de_concertation_thematiques_perennes_1_descriptif;groupes_de_concertation_thematiques_perennes_2_nom_de_laction;groupes_de_concertation_thematiques_perennes_2_etat_davancement;groupes_de_concertation_thematiques_perennes_2_est_ressource;groupes_de_concertation_thematiques_perennes_2_resultat_attendu;groupes_de_concertation_thematiques_perennes_2_resultat_atteint;groupes_de_concertation_thematiques_perennes_2_descriptif;groupes_de_concertation_thematiques_perennes_3_nom_de_laction;groupes_de_concertation_thematiques_perennes_3_etat_davancement;groupes_de_concertation_thematiques_perennes_3_est_ressource;groupes_de_concertation_thematiques_perennes_3_resultat_attendu;groupes_de_concertation_thematiques_perennes_3_resultat_atteint;groupes_de_concertation_thematiques_perennes_3_descriptif;groupes_de_concertation_thematiques_perennes_4_nom_de_laction;groupes_de_concertation_thematiques_perennes_4_etat_davancement;groupes_de_concertation_thematiques_perennes_4_est_ressource;groupes_de_concertation_thematiques_perennes_4_resultat_attendu;groupes_de_concertation_thematiques_perennes_4_resultat_atteint;groupes_de_concertation_thematiques_perennes_4_descriptif;groupes_de_concertation_thematiques_perennes_5_nom_de_laction;groupes_de_concertation_thematiques_perennes_5_etat_davancement;groupes_de_concertation_thematiques_perennes_5_est_ressource;groupes_de_concertation_thematiques_perennes_5_resultat_attendu;groupes_de_concertation_thematiques_perennes_5_resultat_atteint;groupes_de_concertation_thematiques_perennes_5_descriptif;modalites_dimplication_du_grand_public_perennes;modalites_dimplication_du_grand_public_perennes_1_nom_de_laction;modalites_dimplication_du_grand_public_perennes_1_etat_davancement;modalites_dimplication_du_grand_public_perennes_1_est_ressource;modalites_dimplication_du_grand_public_perennes_1_resultat_attendu;modalites_dimplication_du_grand_public_perennes_1_resultat_atteint;modalites_dimplication_du_grand_public_perennes_1_descriptif;modalites_dimplication_du_grand_public_perennes_2_nom_de_laction;modalites_dimplication_du_grand_public_perennes_2_etat_davancement;modalites_dimplication_du_grand_public_perennes_2_est_ressource;modalites_dimplication_du_grand_public_perennes_2_resultat_attendu;modalites_dimplication_du_grand_public_perennes_2_resultat_atteint;modalites_dimplication_du_grand_public_perennes_2_descriptif;modalites_dimplication_du_grand_public_perennes_3_nom_de_laction;modalites_dimplication_du_grand_public_perennes_3_etat_davancement;modalites_dimplication_du_grand_public_perennes_3_est_ressource;modalites_dimplication_du_grand_public_perennes_3_resultat_attendu;modalites_dimplication_du_grand_public_perennes_3_resultat_atteint;modalites_dimplication_du_grand_public_perennes_3_descriptif;modalites_dimplication_du_grand_public_perennes_4_nom_de_laction;modalites_dimplication_du_grand_public_perennes_4_etat_davancement;modalites_dimplication_du_grand_public_perennes_4_est_ressource;modalites_dimplication_du_grand_public_perennes_4_resultat_attendu;modalites_dimplication_du_grand_public_perennes_4_resultat_atteint;modalites_dimplication_du_grand_public_perennes_4_descriptif;modalites_dimplication_du_grand_public_perennes_5_nom_de_laction;modalites_dimplication_du_grand_public_perennes_5_etat_davancement;modalites_dimplication_du_grand_public_perennes_5_est_ressource;modalites_dimplication_du_grand_public_perennes_5_resultat_attendu;modalites_dimplication_du_grand_public_perennes_5_resultat_atteint;modalites_dimplication_du_grand_public_perennes_5_descriptif
891;https://france-pat.fr/pat/redon-agglomeration/;"Programme Agricole et Alimentaire de Territoire de REDON Agglomération";"Pays de la Loire, Bretagne";"Ille-et-Vilaine, Loire-Atlantique, Morbihan";35145,56232,44185,56011,56216,56250,44067,35045,35268,35285,35064,35151,35219,56221,35236,56154,56239,35013,35237,56001,56223,44123,35328,44057,44092,56194,35294,44044,44128,56060,44007;oui;non;oui;"Gouvernance Agricole et Alimentaire de Territoire";"Action en cours";non;;;"Depuis sa création (élaboration de la charte en 2017), le PAAT est un outil multi-partenarial.
Deux instances de gouvernance se sont succédées (2017-2020, puis 2021-2023) permettant d’élaborer les plans d’actions du PAAT, suivre l’avancée des actions, évaluer et renforcer l’interconnaissance. Composées d’une vingtaine de membres, la mobilisation s’est à chaque fois essoufflée au bout de 2 ans.

Les membres de la GAAT mise en place en 2021 ont souligné des points positifs :
-­	La participation à l’élaboration de la politique agricole et alimentaire
­-	La mise en place de visites
-­	L’interconnaissance
Et les limites suivantes :
­-	Pas toujours d’actions concrètes mises en place (« discussion parfois un peu longue surtout quand rien n’aboutit »)
­- Gouvernance pas associée dans la partie opérationnelle du PAAT 
­- Gouvernance pas assez représentative

Sur proposition de ses membres, une nouvelle mouture de la gouvernance a été présentée aux élus de l’agglomération.
Il s’agit d’avoir un outil plus inclusif (ex : l’ouvrir à toute personne désireuse d’y participer) et plus agile (ex : possibilité de rentrer - et sortir - à tout moment, être en capacité de se saisir de sujets « au fil de l’eau » et d’apporter des réponses concrètes avec l’ensemble des partenaires, élus et habitants intéressés).


Composition de la GAAT : L’ensemble des acteurs du champ à l’assiette, les communes et les élus actuellement partenaires du PAAT sont membres de fait de la GAAT
Un appel à participation a été lancé en début d’année afin d’identifier de nouvelles personnes ou structures souhaitant se mobiliser dans le PAAT (une trentaine de réponse).

Missions de la GAAT 
-­ La rencontre une fois par an, et par axe, des partenaires et acteurs-élus-habitants intéressés, afin de faire un bilan plus complet des actions réalisées et d’envisager les actions pour l’année suivante.
-	La constitution de groupes de travail – en lien avec le plan d’action en cours visant à aboutir à des actions concrètes
-	2 rencontres par an de la GAAT en format « plénière »

Cette  nouvelle gouvernance est effective depuis avril 2024. 4 réunions ont été organisées en 1 an (plénières ou thématiques)";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1263;https://france-pat.fr/pat/pat-du-bassin-de-bourg-en-bresse/;"PAT du Bassin de Bourg-en-Bresse";Auvergne-Rhône-Alpes;Ain;01230,01212,01364,01367,01163,01029,01147,01296,01108,01232,01124,01128,01388,01380,01433,01196,01040,01406,01127,01321,01391,01445,01236,01432,01229,01266,01309,01038,01387,01346,01024,01375,01140,01115,01301,01125,01408,01177,01195,01259,01429,01065,01344,01264,01385,01150,01053,01447,01072,01317,01369,01184,01254,01245,01336,01289,01405,01069,01422,01211,01197,01374,01425,01106,01151,01145,01451,01241,01350,01139,01437,01130,01095,01426;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1264;https://france-pat.fr/pat/pat-du-pays-de-veyle/;"PAT du Pays de Veyle";Auvergne-Rhône-Alpes;Ain;01291,01203,01355,01134,01179,01343,01365,01306,01246,01123,01136,01457,01046,01334,01368,01096,01084,01042;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1265;https://france-pat.fr/pat/pat-de-bugey-sud/;"PAAT de la communauté de communes Bugey-Sud";Auvergne-Rhône-Alpes;Ain;01022,01110,01286,01415,01058,01133,01268,01452,01006,01193,01234,01329,01453,01061,01330,01454,01079,01098,01456,01009,01138,01310,01100,01116,01294,01039,01117,01239,01066,01141,01162,01015,01227,01338,01372,01034,01187,01302,01358,01019,01036,01073,01208;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1267;https://france-pat.fr/pat/pat-des-rives-de-lain-pays-du-cerdon/;"PAT Rives de l'Ain - Pays du Cerdon";Auvergne-Rhône-Alpes;Ain;01077,01363,01273,01331,01199,01314,01404,01200,01068,01242,01303,01430,01056,01304;oui;oui;oui;"Conserver l'instance de concertation ""Grand Groupe PAT""";"Action en cours";oui;"70 participants chaque année";;"Ce groupe, ouvert à tous les acteurs locaux de l'agriculture et de l'alimentation ainsi qu'aux citoyens, associations, partenaires et élus, a été lancé fin 2021 pour réfléchir ensemble aux enjeux du territoire (diagnostic partagé), à la stratégie à adopter et le plan d'actions à mettre en place. 
L'idée est de conserver cette instance tous les ans afin de : 
- Faire le bilan des actions mises en place dans l'année 
- Proposer de nouvelles pistes d'actions 
- Valider collectivement les orientations du PAT Ain-Cerdon ";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1268;https://france-pat.fr/pat/pat-de-miribel-et-du-plateau/;"PAT de la Communauté de communes de Miribel et du Plateau";Auvergne-Rhône-Alpes;Ain;01376,01249,01418,01043,01275,01424;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1269;https://france-pat.fr/pat/pat-de-montlucon-communaute/;"PAT de la Communauté d'agglomération Montluçon Communauté";Auvergne-Rhône-Alpes;Allier;03101,03262,03098,03140,03211,03212,03279,03136,03206,03145,03314,03161,03231,03244,03216,03007,03167,03280,03261,03233,03185;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1270;https://france-pat.fr/pat/pat-du-pays-de-lapalisse/;"PAT de la Communauté de communes du Pays de Lapalisse";Auvergne-Rhône-Alpes;Allier;03131,03230,03004,03250,03024,03105,03138,03205,03042,03223,03028,03272,03257,03017;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1271;https://france-pat.fr/pat/pat-entrallier-bebsre-et-loire/;"PAT de la Communauté de communes Entr'Allier Bebsre et Loire";Auvergne-Rhône-Alpes;Allier;03019,03035,03067,03132,03181,03100,03215,03263,03232,03102,03265,03071,03103,03234,03266,03298,03137,03154,03235,03299,03171,03187,03284,03300,03253,03091,03207,03239,03142,03208,03240,03014,03289,03079,03144,03177,03226,03274,03178,03291,03179,03034,03147,03196;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1272;https://france-pat.fr/pat/pat-du-bocage-bourbonnais/;"PAT du Bocage Bourbonnais";Auvergne-Rhône-Alpes;Allier;03065,03260,03292,03002,03099,03214,03036,03247,03069,03117,03150,03183,03312,03169,03202,03218,03170,03251,03122,03238,03012,03092,03287,03320,03046;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
