id;lien_vers_la_fiche_pat;nom;regions;departements;code_insee;urbanisme;urbanisme_est_territoire_ressource;autres;autres_1_nom_de_laction;autres_1_etat_davancement;autres_1_est_ressource;autres_1_resultat_attendu;autres_1_resultat_atteint;autres_1_descriptif;autres_2_nom_de_laction;autres_2_etat_davancement;autres_2_est_ressource;autres_2_resultat_attendu;autres_2_resultat_atteint;autres_2_descriptif;autres_3_nom_de_laction;autres_3_etat_davancement;autres_3_est_ressource;autres_3_resultat_attendu;autres_3_resultat_atteint;autres_3_descriptif;autres_4_nom_de_laction;autres_4_etat_davancement;autres_4_est_ressource;autres_4_resultat_attendu;autres_4_resultat_atteint;autres_4_descriptif;autres_5_nom_de_laction;autres_5_etat_davancement;autres_5_est_ressource;autres_5_resultat_attendu;autres_5_resultat_atteint;autres_5_descriptif;logistique;logistique_1_nom_de_laction;logistique_1_etat_davancement;logistique_1_est_ressource;logistique_1_resultat_attendu;logistique_1_resultat_atteint;logistique_1_descriptif;logistique_2_nom_de_laction;logistique_2_etat_davancement;logistique_2_est_ressource;logistique_2_resultat_attendu;logistique_2_resultat_atteint;logistique_2_descriptif;logistique_3_nom_de_laction;logistique_3_etat_davancement;logistique_3_est_ressource;logistique_3_resultat_attendu;logistique_3_resultat_atteint;logistique_3_descriptif;logistique_4_nom_de_laction;logistique_4_etat_davancement;logistique_4_est_ressource;logistique_4_resultat_attendu;logistique_4_resultat_atteint;logistique_4_descriptif;logistique_5_nom_de_laction;logistique_5_etat_davancement;logistique_5_est_ressource;logistique_5_resultat_attendu;logistique_5_resultat_atteint;logistique_5_descriptif;protection_et_mise_en_valeur_des_espaces_agricoles;protection_et_mise_en_valeur_des_espaces_agricoles_1_nom_de_laction;protection_et_mise_en_valeur_des_espaces_agricoles_1_etat_davancement;protection_et_mise_en_valeur_des_espaces_agricoles_1_est_ressource;protection_et_mise_en_valeur_des_espaces_agricoles_1_resultat_attendu;protection_et_mise_en_valeur_des_espaces_agricoles_1_resultat_atteint;protection_et_mise_en_valeur_des_espaces_agricoles_1_descriptif;protection_et_mise_en_valeur_des_espaces_agricoles_2_nom_de_laction;protection_et_mise_en_valeur_des_espaces_agricoles_2_etat_davancement;protection_et_mise_en_valeur_des_espaces_agricoles_2_est_ressource;protection_et_mise_en_valeur_des_espaces_agricoles_2_resultat_attendu;protection_et_mise_en_valeur_des_espaces_agricoles_2_resultat_atteint;protection_et_mise_en_valeur_des_espaces_agricoles_2_descriptif;protection_et_mise_en_valeur_des_espaces_agricoles_3_nom_de_laction;protection_et_mise_en_valeur_des_espaces_agricoles_3_etat_davancement;protection_et_mise_en_valeur_des_espaces_agricoles_3_est_ressource;protection_et_mise_en_valeur_des_espaces_agricoles_3_resultat_attendu;protection_et_mise_en_valeur_des_espaces_agricoles_3_resultat_atteint;protection_et_mise_en_valeur_des_espaces_agricoles_3_descriptif;protection_et_mise_en_valeur_des_espaces_agricoles_4_nom_de_laction;protection_et_mise_en_valeur_des_espaces_agricoles_4_etat_davancement;protection_et_mise_en_valeur_des_espaces_agricoles_4_est_ressource;protection_et_mise_en_valeur_des_espaces_agricoles_4_resultat_attendu;protection_et_mise_en_valeur_des_espaces_agricoles_4_resultat_atteint;protection_et_mise_en_valeur_des_espaces_agricoles_4_descriptif;protection_et_mise_en_valeur_des_espaces_agricoles_5_nom_de_laction;protection_et_mise_en_valeur_des_espaces_agricoles_5_etat_davancement;protection_et_mise_en_valeur_des_espaces_agricoles_5_est_ressource;protection_et_mise_en_valeur_des_espaces_agricoles_5_resultat_attendu;protection_et_mise_en_valeur_des_espaces_agricoles_5_resultat_atteint;protection_et_mise_en_valeur_des_espaces_agricoles_5_descriptif;urbanisme_commercial;urbanisme_commercial_1_nom_de_laction;urbanisme_commercial_1_etat_davancement;urbanisme_commercial_1_est_ressource;urbanisme_commercial_1_resultat_attendu;urbanisme_commercial_1_resultat_atteint;urbanisme_commercial_1_descriptif;urbanisme_commercial_2_nom_de_laction;urbanisme_commercial_2_etat_davancement;urbanisme_commercial_2_est_ressource;urbanisme_commercial_2_resultat_attendu;urbanisme_commercial_2_resultat_atteint;urbanisme_commercial_2_descriptif;urbanisme_commercial_3_nom_de_laction;urbanisme_commercial_3_etat_davancement;urbanisme_commercial_3_est_ressource;urbanisme_commercial_3_resultat_attendu;urbanisme_commercial_3_resultat_atteint;urbanisme_commercial_3_descriptif;urbanisme_commercial_4_nom_de_laction;urbanisme_commercial_4_etat_davancement;urbanisme_commercial_4_est_ressource;urbanisme_commercial_4_resultat_attendu;urbanisme_commercial_4_resultat_atteint;urbanisme_commercial_4_descriptif;urbanisme_commercial_5_nom_de_laction;urbanisme_commercial_5_etat_davancement;urbanisme_commercial_5_est_ressource;urbanisme_commercial_5_resultat_attendu;urbanisme_commercial_5_resultat_atteint;urbanisme_commercial_5_descriptif
891;https://france-pat.fr/pat/redon-agglomeration/;"Programme Agricole et Alimentaire de Territoire de REDON Agglomération";"Pays de la Loire, Bretagne";"Ille-et-Vilaine, Loire-Atlantique, Morbihan";35145,56232,44185,56011,56216,56250,44067,35045,35268,35285,35064,35151,35219,56221,35236,56154,56239,35013,35237,56001,56223,44123,35328,44057,44092,56194,35294,44044,44128,56060,44007;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Espace de ""co-working"" agricole comprenant un Espace Test Agricole en maraichage";"Action réalisée";oui;;"4 activités pérennes, 2 à 4 stagiaires par an sur l'Espace Test, 6 emplois (pépiniéristes, apiculteur)";"REDON Agglomération a acquis du foncier agricole ainsi que deux hangars agricoles. Elle a réhabilité un des hangar, fait l'acquisition de matériel agricole, installé l'irrigation. Aujourd'hui, différentes activités sont hébergées :
- Un espace Test Agricole en maraichage géré par la CIAP Pays de la Loire permettant d'accueillir 2 à 3 porteurs de projets pendant 1 an
- Un pépiniériste labelisé végétal local (bail rural environnemental)
- Une pépiniériste fruitière implantée sur un verger conservatoire implantée par la collectivité (bail rural environnemental)
- Un apiculteur avec sa mielerie ((bail rural environnemental))
- Autres activités plus ponctuelles
Toutes ces activités partagent des locaux communs (hangar), créant une dynamique entre les porteurs de projets de l'espace test et agriculteurs installés (pépiniéristes, apiculteur)";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1263;https://france-pat.fr/pat/pat-du-bassin-de-bourg-en-bresse/;"PAT du Bassin de Bourg-en-Bresse";Auvergne-Rhône-Alpes;Ain;01230,01212,01364,01367,01163,01029,01147,01296,01108,01232,01124,01128,01388,01380,01433,01196,01040,01406,01127,01321,01391,01445,01236,01432,01229,01266,01309,01038,01387,01346,01024,01375,01140,01115,01301,01125,01408,01177,01195,01259,01429,01065,01344,01264,01385,01150,01053,01447,01072,01317,01369,01184,01254,01245,01336,01289,01405,01069,01422,01211,01197,01374,01425,01106,01151,01145,01451,01241,01350,01139,01437,01130,01095,01426;oui;oui;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Etude et expérimentation logistique des produits locaux à destination de la restauration collective ";"Action en cours";oui;;"1 er forum le 10 avril 2024 : 35 exposants au workshop, 200 visiteurs sur la journée";"Avec les trois chambres consulaires, les 6 intercommunalités partenaires, et un soutien humain de Saveurs de l'Ain et Agrilocal 01, une étude a été menée pour connaitre les flux de produits locaux du territoire et leurs méthodes d'acheminements.
A l'issue de l'étude, 4 propositions ont été faites, et 3 sont en cours de mise en oeuvre : 
- Amélioration de l'interconnaissance des acteurs (acheteurs/fournisseurs) par l'organisation d'un forum annuel de l'alimentation locale avec workshop et tables rondes
- Mise en place de tournées de fournisseurs (légumes et produits secs)
Développement d'un ""module"" logistique sur la plateforme Agrilocal01";;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Installation d'un maraicher sur un site appartenant à la collectivité ";"Action réalisée";oui;;"maintien des surfaces en maraichage bio avec débouchés locaux";"Suite à un appel à candidature reprise d'un site en maraichage bio sur 4h30 suite au départ de l'exploitant en place (association d'insertion)";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1264;https://france-pat.fr/pat/pat-du-pays-de-veyle/;"PAT du Pays de Veyle";Auvergne-Rhône-Alpes;Ain;01291,01203,01355,01134,01179,01343,01365,01306,01246,01123,01136,01457,01046,01334,01368,01096,01084,01042;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1265;https://france-pat.fr/pat/pat-de-bugey-sud/;"PAAT de la communauté de communes Bugey-Sud";Auvergne-Rhône-Alpes;Ain;01022,01110,01286,01415,01058,01133,01268,01452,01006,01193,01234,01329,01453,01061,01330,01454,01079,01098,01456,01009,01138,01310,01100,01116,01294,01039,01117,01239,01066,01141,01162,01015,01227,01338,01372,01034,01187,01302,01358,01019,01036,01073,01208;oui;non;oui;"Réflexion sur le volet agricole / alimentation renforcé d’un futur PLUi";"Action programmée";non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Lutte contre le foncier en déshérence : reconquête des biens fonciers vacants";"Action en cours";non;;;"Dans le cadre de ses compétences en GEMAPI mais également en développement du tourisme et des politiques environnementales, la CCBS a proposé aux communes de son territoire un accompagnement technique pour lutter contre le foncier en déshérence. En effet, un diagnostic de l’association des Communes forestières de l’Ain (COFOR01), a identifié 10.95 ha de biens fonciers sans propriétaire sur le territoire et près de 1 180 hectares susceptibles de l’être.  
L’Association des Communes forestières de l’Ain, suite à la consultation des édiles, a été sollicitée pour faciliter la mise en œuvre de la procédure des Biens Vacants et Sans Maître définie par la loi d’Avenir de l’Alimentation, l’Agriculture et la Forêt de 2014 via une convention.";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1267;https://france-pat.fr/pat/pat-des-rives-de-lain-pays-du-cerdon/;"PAT Rives de l'Ain - Pays du Cerdon";Auvergne-Rhône-Alpes;Ain;01077,01363,01273,01331,01199,01314,01404,01200,01068,01242,01303,01430,01056,01304;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;oui;"Mise en place et entretien de panneaux de signalétique pastorale.";"Action réalisée";non;"50 panneaux installés";"50 panneaux installés";"Expliquer aux promeneurs les règles à respecter au contact des troupeaux. Projet piloté par la SEMA (Société d'Économie Montagnarde de l'Ain). ";;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1268;https://france-pat.fr/pat/pat-de-miribel-et-du-plateau/;"PAT de la Communauté de communes de Miribel et du Plateau";Auvergne-Rhône-Alpes;Ain;01376,01249,01418,01043,01275,01424;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1269;https://france-pat.fr/pat/pat-de-montlucon-communaute/;"PAT de la Communauté d'agglomération Montluçon Communauté";Auvergne-Rhône-Alpes;Allier;03101,03262,03098,03140,03211,03212,03279,03136,03206,03145,03314,03161,03231,03244,03216,03007,03167,03280,03261,03233,03185;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1270;https://france-pat.fr/pat/pat-du-pays-de-lapalisse/;"PAT de la Communauté de communes du Pays de Lapalisse";Auvergne-Rhône-Alpes;Allier;03131,03230,03004,03250,03024,03105,03138,03205,03042,03223,03028,03272,03257,03017;oui;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1271;https://france-pat.fr/pat/pat-entrallier-bebsre-et-loire/;"PAT de la Communauté de communes Entr'Allier Bebsre et Loire";Auvergne-Rhône-Alpes;Allier;03019,03035,03067,03132,03181,03100,03215,03263,03232,03102,03265,03071,03103,03234,03266,03298,03137,03154,03235,03299,03171,03187,03284,03300,03253,03091,03207,03239,03142,03208,03240,03014,03289,03079,03144,03177,03226,03274,03178,03291,03179,03034,03147,03196;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
1272;https://france-pat.fr/pat/pat-du-bocage-bourbonnais/;"PAT du Bocage Bourbonnais";Auvergne-Rhône-Alpes;Allier;03065,03260,03292,03002,03099,03214,03036,03247,03069,03117,03150,03183,03312,03169,03202,03218,03170,03251,03122,03238,03012,03092,03287,03320,03046;non;non;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;;non;;;non;;;;;;non;;;;;;non;;;;;;non;;;;;;non;;;
