COM	NOM_COM	GENTILE
1002	L'Abergement-de-Varey	Abergementais
1004	Ambérieu-en-Bugey	Ambarrois
1005	Ambérieux-en-Dombes	Ambarrois
1006	Ambléon	Ambléonais
1007	Ambronay	Ambrunois
1008	Ambutrix	Butrians
1011	Apremont	Marranes
1012	Aranc	Randaoillards
1013	Arandas	Arandassiens
1014	Arbent	Arbanais
1016	Arbigny	Arbignerons
1019	Armix	Armixois
1021	Ars-sur-Formans	Arsois
1022	Artemare	Artemariens
1023	Asnières-sur-Saône	Asniérois
1024	Attignat	Attignatis
1026	Bâgé-le-Châtel	Bagésiens
1027	Balan	Balanais
1029	Beaupont	Beaupontois
1030	Beauregard	Beauregardiens
1031	Bellignat	Renouillus
1032	Béligneux	Bélignards
1034	Belley	Belleysans
1035	Belleydoux	Belleydousans
1037	Bénonces	Bénonçards
1039	Béon	Béonais
1041	Bettant	Bettaniers
1043	Beynost	Beynolans
1044	Billiat	Billiatus
1045	Birieux	Birotans
1047	Blyes	Blyards
1049	La Boisse	Buissards
1051	Bolozon	Bolozonnais
1052	Bouligneux	Boulignards
1053	Bourg-en-Bresse	Burgiens
1054	Bourg-Saint-Christophe	Bourtoirs
1057	Boz	Burhins
1060	Brénod	Brénodiens
1062	Bressolles	Bressollands
1063	Brion	Brionnais
1064	Briord	Briolands
1065	Buellas	Buellassiens
1067	Ceignes	Ceigneurs
1069	Certines	Certinois
1071	Cessy	Cessiens
1072	Ceyzériat	Ceyzériacois
1073	Ceyzérieu	Ceyzériolans
1074	Chalamont	Chalamontais
1075	Chaleins	Chalinois
1076	Chaley	Chaleysiens
1078	Challex	Challaisiens
1079	Champagne-en-Valromey	Champenois
1081	Champfromier	Champfromerands
1082	Chanay	Chanerus
1083	Chaneins	Chaneinois
1084	Chanoz-Châtenay	Chanoziens
1085	La Chapelle-du-Châtelard	Châtelardois
1087	Charix	Charians
1088	Charnoz-sur-Ain	Charnoziens
1090	Châtenay	Chatenaysiens
1092	Châtillon-la-Palud	Chatillonnais
1094	Chavannes-sur-Reyssouze	Chavannois
1098	Chazey-Bons	Bondolans
1099	Chazey-sur-Ain	Chazeyens
1100	Cheignieu-la-Balme	Cheignieulats
1101	Chevillard	Savorays
1102	Chevroux	Chevroutis
1103	Chevry	Chevryziens
1104	Chézery-Forens	Chézerands
1105	Civrieux	Severins
1106	Cize	Cizois
1107	Cleyzieu	Cleyzolets
1108	Coligny	Colignois
1111	Conand	Conandais
1112	Condamine	Condaminois
1113	Condeissiat	Conduxiens
1114	Confort	Confordiers
1115	Confrançon	Confrançonnais
1116	Contrevoz	Controvolats
1117	Conzieu	Conzolards
1121	Corlier	Corlierons
1123	Cormoranche-sur-Saône	Cormoranchois
1124	Cormoz	Cormoziens
1125	Corveissiat	Curtivessiens
1127	Courmangoux	Curtimengiens
1134	Crottet	Crottassis
1135	Crozet	Crozatis
1136	Cruzilles-lès-Mépillat	Cruzillards
1138	Culoz	Culoziens
1139	Curciat-Dongalon	Curciatis
1141	Cuzieu	Cuziolans
1142	Dagneux	Dagnards
1143	Divonne-les-Bains	Divonnais
1146	Dompierre-sur-Chalaronne	Dompierrois
1147	Domsure	Domsurois
1148	Dortan	Dortannais
1149	Douvres	Douvrois
1150	Drom	Dromniers
1159	Feillens	Feillendits
1160	Ferney-Voltaire	Ferneysiens
1162	Flaxieu	Flaxiolans
1163	Foissiat	Foissiatis
1166	Frans	Franvernois
1173	Gex	Gessiens
1174	Giron	Gironnais
1175	Gorrevod	Gorrevoutis
