"","topic","term","beta"
"1",1,"accessible",1.61061718850664e-05
"2",2,"accessible",0.00038765506202481
"3",3,"accessible",1.38278160347355e-05
"4",4,"accessible",0.00861910029498525
"5",5,"accessible",1.48218414655837e-05
"6",6,"accessible",1.38603980706326e-05
"7",7,"accessible",1.51267622678042e-05
"8",8,"accessible",1.34956409079867e-05
"9",9,"accessible",0.000168021017901876
"10",1,"acteur",0.000982476484989048
"11",2,"acteur",1.25050020008003e-05
"12",3,"acteur",0.00430045078680273
"13",4,"acteur",0.00815818584070797
"14",5,"acteur",1.48218414655837e-05
"15",6,"acteur",0.0145672783722349
"16",7,"acteur",0.00500695831064319
"17",8,"acteur",1.34956409079867e-05
"18",9,"acteur",1.52746379910796e-05
"19",1,"action",1.61061718850664e-05
"20",2,"action",1.25050020008003e-05
"21",3,"action",1.38278160347355e-05
"22",4,"action",1.53638151425762e-05
"23",5,"action",1.48218414655837e-05
"24",6,"action",0.0341104396518268
"25",7,"action",1.51267622678042e-05
"26",8,"action",1.34956409079867e-05
"27",9,"action",0.000168021017901876
"28",1,"agglomération",1.61061718850664e-05
"29",2,"agglomération",1.25050020008003e-05
"30",3,"agglomération",1.38278160347355e-05
"31",4,"agglomération",0.0003226401179941
"32",5,"agglomération",1.48218414655837e-05
"33",6,"agglomération",0.00431058379996673
"34",7,"agglomération",0.000317662007623888
"35",8,"agglomération",0.000148452049987854
"36",9,"agglomération",0.0110130139915684
"37",1,"agricole",0.00114353820383971
"38",2,"agricole",0.0364020608243297
"39",3,"agricole",1.38278160347355e-05
"40",4,"agricole",1.53638151425762e-05
"41",5,"agricole",0.000904132329400605
"42",6,"agricole",1.38603980706326e-05
"43",7,"agricole",0.0939523204453319
"44",8,"agricole",0.000148452049987854
"45",9,"agricole",0.0290370868210423
"46",1,"agriculture",0.000338229609586394
"47",2,"agriculture",0.0166441576630652
"48",3,"agriculture",1.38278160347355e-05
"49",4,"agriculture",0.000629916420845624
"50",5,"agriculture",0.016911721112231
"51",6,"agriculture",0.0169235460442424
"52",7,"agriculture",0.00485569068796515
"53",8,"agriculture",1.34956409079867e-05
"54",9,"agriculture",0.0149844198692491
"55",1,"agroalimentaire",1.61061718850664e-05
"56",2,"agroalimentaire",0.00038765506202481
"57",3,"agroalimentaire",1.38278160347355e-05
"58",4,"agroalimentaire",1.53638151425762e-05
"59",5,"agroalimentaire",0.000755913914744768
"60",6,"agroalimentaire",1.38603980706326e-05
"61",7,"agroalimentaire",1.51267622678042e-05
"62",8,"agroalimentaire",1.34956409079867e-05
"63",9,"agroalimentaire",0.00979104295228203
"64",1,"ajouter",1.61061718850664e-05
"65",2,"ajouter",1.25050020008003e-05
"66",3,"ajouter",0.00181144390055035
"67",4,"ajouter",0.000629916420845624
"68",5,"ajouter",0.00401671903717318
"69",6,"ajouter",0.000291068359483285
"70",7,"ajouter",0.00046892963030193
"71",8,"ajouter",0.000148452049987854
"72",9,"ajouter",1.52746379910796e-05
"73",1,"alimentaire",1.61061718850664e-05
"74",2,"alimentaire",0.0105167066826731
"75",3,"alimentaire",0.0456456207306618
"76",4,"alimentaire",0.0991119714847591
"77",5,"alimentaire",0.0229886761131203
"78",6,"alimentaire",1.38603980706326e-05
"79",7,"alimentaire",1.51267622678042e-05
"80",8,"alimentaire",1.34956409079867e-05
"81",9,"alimentaire",1.52746379910796e-05
"82",1,"altération",1.61061718850664e-05
"83",2,"altération",1.25050020008003e-05
"84",3,"altération",1.38278160347355e-05
"85",4,"altération",1.53638151425762e-05
"86",5,"altération",1.48218414655837e-05
"87",6,"altération",1.38603980706326e-05
"88",7,"altération",1.51267622678042e-05
"89",8,"altération",1.34956409079867e-05
"90",9,"altération",0.000168021017901876
"91",1,"ambition",0.00017716789073573
"92",2,"ambition",1.25050020008003e-05
"93",3,"ambition",1.38278160347355e-05
"94",4,"ambition",1.53638151425762e-05
"95",5,"ambition",1.48218414655837e-05
"96",6,"ambition",0.00444918778067306
"97",7,"ambition",1.51267622678042e-05
"98",8,"ambition",1.34956409079867e-05
"99",9,"ambition",1.52746379910796e-05
"100",1,"année",0.0087134389898209
"101",2,"année",0.00113795518207283
"102",3,"année",1.38278160347355e-05
"103",4,"année",1.53638151425762e-05
"104",5,"année",0.00698108733028992
"105",6,"année",0.000152464378776958
"106",7,"année",1.51267622678042e-05
"107",8,"année",1.34956409079867e-05
"108",9,"année",0.000320767397812672
"109",1,"assurer",0.000821414766138385
"110",2,"assurer",1.25050020008003e-05
"111",3,"assurer",1.38278160347355e-05
"112",4,"assurer",1.53638151425762e-05
"113",5,"assurer",0.00253453489061481
"114",6,"assurer",0.00042967234018961
"115",7,"assurer",0.00530949355599927
"116",8,"assurer",1.34956409079867e-05
"117",9,"assurer",1.52746379910796e-05
"118",1,"breton",1.61061718850664e-05
"119",2,"breton",1.25050020008003e-05
"120",3,"breton",1.38278160347355e-05
"121",4,"breton",1.53638151425762e-05
"122",5,"breton",1.48218414655837e-05
"123",6,"breton",0.00042967234018961
"124",7,"breton",0.000166394384945846
"125",8,"breton",1.34956409079867e-05
"126",9,"breton",1.52746379910796e-05
"127",1,"caractéristique",1.61061718850664e-05
"128",2,"caractéristique",1.25050020008003e-05
"129",3,"caractéristique",1.38278160347355e-05
"130",4,"caractéristique",1.53638151425762e-05
"131",5,"caractéristique",0.00016304025612142
"132",6,"caractéristique",1.38603980706326e-05
"133",7,"caractéristique",0.000166394384945846
"134",8,"caractéristique",1.34956409079867e-05
"135",9,"caractéristique",0.00276470947638541
"136",1,"carrefour",0.00017716789073573
"137",2,"carrefour",1.25050020008003e-05
"138",3,"carrefour",1.38278160347355e-05
"139",4,"carrefour",1.53638151425762e-05
"140",5,"carrefour",1.48218414655837e-05
"141",6,"carrefour",1.38603980706326e-05
"142",7,"carrefour",0.00046892963030193
"143",8,"carrefour",1.34956409079867e-05
"144",9,"carrefour",1.52746379910796e-05
"145",1,"centre",1.61061718850664e-05
"146",2,"centre",1.25050020008003e-05
"147",3,"centre",0.000290384136729445
"148",4,"centre",0.000169001966568338
"149",5,"centre",1.48218414655837e-05
"150",6,"centre",1.38603980706326e-05
"151",7,"centre",1.51267622678042e-05
"152",8,"centre",1.34956409079867e-05
"153",9,"centre",0.00520865155495815
"154",1,"charte",0.000338229609586394
"155",2,"charte",1.25050020008003e-05
"156",3,"charte",1.38278160347355e-05
"157",4,"charte",0.000629916420845624
"158",5,"charte",1.48218414655837e-05
"159",6,"charte",0.00181571214725287
"160",7,"charte",1.51267622678042e-05
"161",8,"charte",1.34956409079867e-05
"162",9,"charte",1.52746379910796e-05
"163",1,"circuit",1.61061718850664e-05
"164",2,"circuit",1.25050020008003e-05
"165",3,"circuit",0.0343068115821787
"166",4,"circuit",1.53638151425762e-05
"167",5,"circuit",1.48218414655837e-05
"168",6,"circuit",1.38603980706326e-05
"169",7,"circuit",1.51267622678042e-05
"170",8,"circuit",1.34956409079867e-05
"171",9,"circuit",1.52746379910796e-05
"172",1,"citoyen",1.61061718850664e-05
"173",2,"citoyen",1.25050020008003e-05
"174",3,"citoyen",1.38278160347355e-05
"175",4,"citoyen",0.000169001966568338
"176",5,"citoyen",1.48218414655837e-05
"177",6,"citoyen",0.00486499972279204
"178",7,"citoyen",1.51267622678042e-05
"179",8,"citoyen",1.34956409079867e-05
"180",9,"citoyen",1.52746379910796e-05
"181",1,"classé",0.00017716789073573
"182",2,"classé",0.000262605042016807
"183",3,"classé",1.38278160347355e-05
"184",4,"classé",1.53638151425762e-05
"185",5,"classé",1.48218414655837e-05
"186",6,"classé",1.38603980706326e-05
"187",7,"classé",1.51267622678042e-05
"188",8,"classé",0.000418364868147588
"189",9,"classé",1.52746379910796e-05
"190",1,"collectif",1.61061718850664e-05
"191",2,"collectif",1.25050020008003e-05
"192",3,"collectif",0.0470284023341354
"193",4,"collectif",1.53638151425762e-05
"194",5,"collectif",0.00016304025612142
"195",6,"collectif",1.38603980706326e-05
"196",7,"collectif",1.51267622678042e-05
"197",8,"collectif",1.34956409079867e-05
"198",9,"collectif",1.52746379910796e-05
"199",1,"commun",1.61061718850664e-05
"200",2,"commun",1.25050020008003e-05
"201",3,"commun",1.38278160347355e-05
"202",4,"commun",1.53638151425762e-05
"203",5,"commun",1.48218414655837e-05
"204",6,"commun",0.0127654266230526
"205",7,"commun",1.51267622678042e-05
"206",8,"commun",1.34956409079867e-05
"207",9,"commun",0.0343832101179202
"208",1,"compte",0.00790813039556758
"209",2,"compte",1.25050020008003e-05
"210",3,"compte",1.38278160347355e-05
"211",4,"compte",0.000476278269419863
"212",5,"compte",1.48218414655837e-05
"213",6,"compte",1.38603980706326e-05
