"doc";"text.lemma"
"text1";"portrait situer croiser région département confluence métropole agglomération compter habitant commun organiser ville centre pôle relais proposer gamme service proximité dominant agricole rural sau marquer histoire industriel agricole industrie représenter emploi agriculture taux supérieur moyen départemental secteur économie social solidaire générer quant près emploi compte quelques industrie agroalimentaire contrairement rester breton marquer indice santé défavorable rapport moyenne régional taux pauvreté supérieur moyenne régional breton eau sous toutes forme caractéristique voie navigable croiser ville carrefour fluvial marais occuper hectare zone humide classé zone natura mars riche initiative collectif individuel public privé quinzaine année développement circuit alimentaire qualité proximité prévention risque altération santé préservation environnement qualité eau valorisation patrimoine alimentaire local mettre place paat permettre structurer action mener réseau acteur impliquer faveur véritable projet viser développement production consommation responsable mettre place agglomération valider mettre place programme alimentaire charte document socle fédérateur conduire action venir élaboré près professionnel élu citoyen paat ambition faire production consommation responsable enjeu identifier agriculture taille humain préserver ressource assurer respect femme homme produit alimentaire local sain qualité accessible tous vecteur santé engagement tous démarche développement durable transversal partenarial évaluation pat permettre identifier fortement enjeu agricole ajouter pat devenir programme agricole alimentaire"
"text10";"doter projet partager communauté commun rural enjeu maintien développement agriculture qualité fort valeur ajouter également préservation nature adaptation exploitation agricole changement climatique question accès alimentation qualité tous offrir suffisant quantité qualité accès physique logistique financier affirmer enjeu taux pauvreté élevé objectif général tendre système alimentaire cohérent durable résilient niveau tous maillon chaîne alimentaire gouvernance élargir pat permettre définir objectif stratégique suivant transition agricole alimentaire environnemental aider structurer filière local soutenir économie local lien santé alimentation lien contrat local santé valoriser communiquer"
"text100";"pat objectif favoriser alimentation sain durable local grand nombre valoriser circuit court créer point vente collectif renforcer action sensibilisation alimentation sain travailler association précarité alimentaire favoriser introduction produit durable local restauration collectif"
"text102";"objectif stratégique pat tel inscrire cls faire tendre autonomie alimentaire permettre tous habitant accéder alimentation proximité qualité premier temps but travailler approvisionnement cantine scolaire produit local"
"text104";"régional pnr pnr français créer décembre situer sud-ouest département région centre recenser actuellement commun issue intercommunalité population habitant pnr parc naturel régional français rural classer ministère environnement but protéger valoriser patrimoine culturel humain mission préservation gestion patrimoine culturel paysager maintien biodiversité protection ressource aménagement développement socio-économique animation coordination projet territorial éducation sensibilisation habitant touriste enjeu expérimentation recherche régional rural faiblement peupler fortement marquer enjeu agricole environnemental activité agricole représenter superficie total compte exploitation bio sous signe officiel qualité aop igp label rouge posséder producteur circuit court tout type production confondu principalement maraîchage viande bovin ovin volaille fromage apiculture pisciculture activité emblématique également présenter filière complet grâce présence atelier transformation grand partie vente circuit courir direct fermer marché local via magasin alimentaire local présence opérateur logistique cagette fourchette offrir également solution commercialisation principalement destination professionnel toutefois outil transformation représenter frein développement filière circuit court filière production présenter également enjeu spécifique nécessiter travail long terme renforcer ancrage territorial évolution pratique production volume consommer également important voir marché alimentaire local largement dominer grand surface alimentaire également marquer phénomène déprendre agricole accélérer enjeu foncier agricole renouvellement génération difficulté rencontrer agriculteur local problématique important acteur contexte régional entamer année réflexion alimentation collaboration acteur local partir question approvisionnement restauration collectif produit local qualité réflexion permettre émergence plateforme massification distribution cagette fourchette mettre lien restauration collectif offrir local produit local réflexion suite étoffer accélérer émergence alimentaire associer structure local pat permettre constituer diagnostic commun suivre programme action partager mettre partir année travail permettre obtention labéllisation pat niveau octobre"
"text105";"souhaiter organiser production agricole favoriser consommation local but trouver adéquation offrir demander veiller proposer produit proximité qualité convenir souligner également importance prendre compte filière viande futur alimentaire territorial"
"text107";"pad viser répondre série défi systémique touchant plan économique environnemental social sanitaire plan économique face nécessité maintenir développer activité agricole tout structurer filière local durable capable rémunérer équitablement producteur enjeu rendre filière résilient face aléa économique climatique favoriser relocalisation valeur ajouter diffuser pratique agro-environnemental sein exploitation point voir environnemental pad inscrire logique transition carbone soutenir pratique agricole respectueux environnement inspirer cadre prospectif scénario afterres dimension social également centrale agir rendre alimentation local accessible tous via circuit solidarité alimentaire enjeu également engager ensemble acteur producteur consommateur dynamique collectif trajectoire commun santé identifier nouvel enjeu majeur traduire volonté promouvoir alimentation sain durable travers restauration collectif levier clé toucher large part population pad viser politique alimentaire intégrer degré répondre défi durabilité accessibilité coordination territorial cohérence collectif rôle structurer coordination mutualisation dynamique local"
"text108";"pat viser relocaliser alimentation métropolitain préservation foncier enjeu majeur soutien maraîchage élevage tout veiller rémunération agriculteur particulier métropole souhaiter atteindre objectif loi egalim agir restauration collectif favoriser production légumier local biologique métropole souhaiter compléter maillon manquant chaîne alimentaire parallèlement métropole souhaiter aller grand appréhension problématique alimentaire habitant"
"text109";"pat centrer développement circuit-court produit local qualité vente installation maintien producteur réflexion friche transmission objectif communiquer auprès habitant production local renforcer lien collectif"
"text11";"pat reposer finalité créer richesse emploi relocalisé encourager production consommation alimentaire responsable local action mettre place porter aspect alimentation justice social veille foncier production diversification ancrage territorial alimentation éducation alimentaire sensibilisation public lutte gaspillage alimentaire animation réseau entreprise commerce relocaliser vente approvisionnement restauration collectif"
